t,Unnamed: 0,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,gas_price_mean,gas_price_median,google_trends,transfers_med,sigma,sp500,vix,gold
2016-03-28,87,1510422156990.27,1310,10.448,11.853,10.4,11.656166666666666,124120,26.3821260855868,78544994.71823,33572,23293862604.792603,20000000000.0,0.0162,1.02720295687413,0.06265516540524,2037.050048828125,15.239999771118164,1219.9000244140625
2016-03-29,88,1565721993096.95,1656,11.7635,11.865833333333333,11.3675,11.658,125776,23.9127898865714,78576432.53073,33835,24748798766.975,20000000000.0,0.0132,1.04334217,0.0298170369849939,2055.010009765625,13.819999694824219,1235.5999755859375
2016-03-30,89,1596193946003.67,1859,11.6215,12.3,11.5,11.848,127635,37.3774814230688,78608132.99948,36498,29356903689.990498,20000000000.0,0.011,1.03497672,0.0460163746824269,2063.949951171875,13.5600004196167,1226.9000244140625
2016-03-31,90,1663960868285.17,1252,11.864,12.015,11.290333333333333,11.386,128887,25.0216632981291,78639521.90573,32224,23943731847.018,20000000000.0,0.0136,1.04135774,0.0358005700111098,2059.739990234375,13.949999809265137,1234.199951171875
2016-04-01,91,1670747166343.63,1033,11.398,11.9415,11.398,11.624,129920,24.2374098938085,78671406.59323,33286,23089731009.4048,20000000000.0,0.0085,1.02404631,0.0305944239301739,2072.780029296875,13.100000381469727,1222.199951171875
2016-04-02,92,1614896639791.99,1042,11.65,11.745333333333337,11.436,11.658,130962,18.0656639509779,78702487.84323,29332,22939736669.3087,20000000000.0,0.008,1.03447391,0.0188676616073406,2072.780029296875,13.100000381469727,1222.199951171875
2016-04-03,93,1695778266448.92,892,11.608999999999998,11.749,11.431333333333331,11.61,131854,17.9368728685902,78734217.53073,29577,22705288436.9764,20000000000.0,0.0097,1.03657889,0.0193817282353685,2072.780029296875,13.100000381469727,1222.199951171875
2016-04-04,94,1777768930741.77,1149,11.599166666666669,11.659,10.9544,11.15,133003,24.8694159202554,78766170.65573,34527,23071306358.850506,20000000000.0,0.0089,1.02823769,0.0366120017858094,2066.1298828125,14.119999885559082,1218.0
2016-04-05,95,1794023546703.12,1152,11.104,11.108,10.7,10.858,134155,28.6069272825868,78797745.49948,39098,22855001812.0583,20000000000.0,0.0072,1.03374923,0.0225013995334467,2045.1700439453125,15.420000076293945,1228.4000244140625
2016-04-06,96,1782894541114.0,1069,10.708,10.872,10.621,10.66,135224,21.6791327625232,78829008.15573,31764,23774218157.9852,20000000000.0,0.0076,1.03121238,0.0162784937637717,2066.659912109375,14.09000015258789,1222.5
2016-04-07,97,1697538599126.0,1057,10.668,10.78,9.99,10.137,136281,21.4127194869204,78860175.49948,31819,22920002716.5199,20000000000.0,0.0088,1.02381295,0.0434652998529718,2041.9100341796875,16.15999984741211,1236.199951171875
2016-04-08,98,1842874459546.51,754,10.08625,10.34,9.6,9.71,137035,25.1675382660334,78892089.87448,33992,23663537901.2975,20000000000.0,0.0078,1.01350600255847,0.046890625763919,2047.5999755859375,15.359999656677246,1242.5
2016-04-09,99,1841653239722.35,909,9.704857142857144,10.1725,9.049625,9.137,137944,19.9980599971224,78923003.46823,31903,23374699344.6438,20000000000.0,0.0078,1.02746521,0.0737294269761673,2047.5999755859375,15.359999656677246,1242.5
2016-04-10,100,1900053119899.68,1192,9.204,9.24,7.549618749999999,8.8955,139136,19.4470129476767,78954777.68698,32226,23678330656.6919,20000000000.0,0.0098,1.03209117,0.1412871601276896,2047.5999755859375,15.359999656677246,1242.5
2016-04-11,101,1855611584581.53,996,8.9299,8.9299,8.0175,8.699,140132,18.6565029085932,78985748.62448,30319,23659454581.987698,20000000000.0,0.0097,1.0270789,0.0744513107137583,2041.989990234375,16.260000228881836,1256.699951171875
2016-04-12,102,1814699497260.76,1192,8.63255,8.63255,7.220775000000001,7.52,141324,22.9060121479988,79017134.56198,34664,23059716953.001,20000000000.0,0.01,1.02061396,0.0926886841261658,2061.719970703125,14.850000381469727,1259.4000244140625
2016-04-13,103,1895340876900.16,1176,7.465,8.785,6.933333333333335,8.05,142500,32.9671242100454,79048620.65573,35614,25246911317.555,20000000000.0,0.007,1.02211145,0.1606728660607939,2082.419921875,13.84000015258789,1246.800048828125
2016-04-14,104,1918999537859.25,952,8.08075,8.86,8.0,8.47,143452,31.7285716006255,79080021.74948,34763,25758426765.1293,20000000000.0,0.0059,1.02129445010571,0.0660132522218965,2082.780029296875,13.720000267028809,1225.0
2016-04-15,105,1984157715155.39,799,8.45,8.677999999999999,8.175,8.3199,144251,23.3788742306267,79111755.18698,34939,22848354360.3861,20000000000.0,0.0075,1.02012659,0.041105508019066,2080.72998046875,13.619999885559082,1233.0999755859375
