t,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,V1
2016-05-16,1360427099284080000,233618,458.4169491895611,461.1305060964003,451.984912471684,454.6210663380606,147554875,60.51568467,15552000.0,239668,0.0108
2016-05-17,1372986451246980000,228539,454.5536381713291,456.99708877667706,452.6303381264597,453.8437384547908,147783414,58.4408726,15555525.0,238485,0.0136
2016-05-18,1477369905696330000,234722,453.57218986366,457.3511400371882,452.6364051362301,454.9559643049547,148018136,58.26811656,15559350.0,234930,0.0128
2016-05-19,1153794060651700000,219019,454.40838387430233,456.28706083682425,437.3181499191404,438.5470537052079,148237155,54.98968957,15562350.0,219025,0.0132
2016-05-20,1446328686472000000,205104,436.4279909810596,445.214454619642,436.4279909810596,445.214454619642,148442259,51.58622819,15566075.0,209247,0.0132
2016-05-21,1343323308888500000,191131,444.1771422510402,446.22076975268817,440.0186529953198,445.7950017281727,148633390,56.82664163,15569600.0,191320,0.0116
2016-05-22,1772398578038490000,176868,444.3312682003981,446.0924270057852,437.07971066370766,441.11737178700224,148810258,43.20770201,15574200.0,184164,0.0112
2016-05-23,1732947819494520000,220330,442.5133370827871,445.09554932369775,439.0776140862592,445.09554932369775,149030588,54.73645083,15578700.0,222574,0.012
2016-05-24,1428780658355230000,235069,444.71222442337074,447.3829876731331,441.7771761627056,445.7460073246161,149265657,59.53134626,15582375.0,246370,0.0116
2016-05-25,1363669856754510000,235385,445.6230944199755,451.4634673119952,445.6230944199755,451.3402890773279,149501042,59.87550803,15585825.0,247703,0.0128
2016-05-26,1327740892996840000,223188,450.2670467719944,454.8689733198864,447.9067543092456,454.08349108848006,149724230,55.65651605,15589200.0,219956,0.0112
2016-05-27,1379683164423400000,231655,454.00046150490607,476.64769399699645,453.4903119052583,470.6678659296852,149955885,70.89209327,15592675.0,215157,0.0144
2016-05-28,1311022902963540000,212858,470.457234804704,533.6525954942157,470.45019330087433,523.4010670292037,150168743,52.34180926,15596000.0,192921,0.0168
2016-05-29,1460359355760080000,187801,519.0524155166189,541.5494857295442,505.0615806396166,522.4012688892889,150356544,47.98546674,15599675.0,178595,0.0176
2016-05-30,1418734550522590000,221349,520.8909695563295,538.0389196649197,515.9676712967573,531.7697241514386,150577893,57.85196125,15603275.0,211224,0.0184
2016-05-31,1262110415625830000,226702,532.5368758249402,547.1883882359074,520.9596582207147,531.5451114534147,150804595,52.33924442,15606450.0,215122,0.0168
