t,Unnamed: 0,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,google_trends,transfers_med,sigma,gold,sp500,vix
2020-12-03,1798,147417017679801000000,554788,19205.92540409496,19562.79626940973,18936.513751339924,19437.08165850093,745336354,145.78926977,18561493.75,346764,0.1178,0.03227797,0.0217728399884234,1836.800048828125,3666.719970703125,21.280000686645508
2020-12-04,1799,136924649384545000000,521062,19446.96642245726,19511.40471415163,18698.988905177936,18756.340876715585,745857416,108.77416045,18562393.75,318750,0.1116,0.03284419,0.0199827946254788,1835.9000244140625,3699.1201171875,20.790000915527344
2020-12-05,1800,137997936545156000000,468371,18698.385278509944,19155.628984867843,18612.58807974134,19137.370640297184,746325787,69.64763484,18563293.75,282455,0.1054,0.02605007,0.0143353273317095,1835.9000244140625,3699.1201171875,20.790000915527344
2020-12-06,1801,129217672598417000000,429728,19154.180593330577,19390.49989515353,18900.21953778314,19331.057919958297,746755515,48.40641585,18564143.75,258488,0.0961,0.0250974,0.0171839870331332,1835.9000244140625,3699.1201171875,20.790000915527344
2020-12-07,1802,142253376602770000000,486989,19343.12879819441,19411.82767631465,18931.14291942231,19198.32218907732,747242504,68.46050775,18565081.25,300756,0.1054,0.03325728,0.0171039686324653,1861.800048828125,3691.9599609375,21.299999237060547
2020-12-08,1803,137391454200564000000,536825,19191.529462829752,19264.88375349544,18282.95106835,18327.694817576405,747779329,72.19048212,18565981.25,330826,0.0992,0.03118769,0.0234317543714883,1870.800048828125,3702.25,20.68000030517578
2020-12-09,1804,132320179454130000000,530363,18322.365636902658,18623.59268954838,17939.17211921972,18564.904366246454,748309692,72.45729357,18566850.0,320940,0.1085,0.03477163,0.0251826627771955,1834.5999755859373,3672.820068359375,22.270000457763672
2020-12-10,1805,123907511074607000000,512866,18548.84768177893,18548.84768177893,17959.575979956502,18272.716243561048,748822558,72.83286894,18567662.5,313519,0.093,0.03270801,0.020838301661877,1833.5999755859373,3668.10009765625,22.520000457763672
2020-12-11,1806,132026589122716000000,508289,18264.992106722537,18268.45284469928,17638.432039598225,18079.31213320717,749330847,70.49629972,18568525.0,304597,0.1023,0.03475956,0.0239899249505282,1839.800048828125,3663.4599609375,23.309999465942383
2020-12-12,1807,127350991400039000000,482288,18058.903347250904,18911.89271400882,18058.903347250904,18799.9244382663,749813135,50.58835913,18569350.0,295278,0.0899,0.02721484,0.0209835022542053,1839.800048828125,3663.4599609375,23.309999465942383
2020-12-13,1808,147440393643616000000,449669,18803.656870453804,19378.240111950883,18743.583681422213,19148.69345627125,750262804,39.24154715,18570325.0,276004,0.093,0.02584635,0.0206567872483353,1839.800048828125,3663.4599609375,23.309999465942383
2020-12-14,1809,133107721500645000000,504683,19142.38253350452,19304.93651593942,19012.70940762156,19246.47838730268,750767487,59.2358478,18571231.25,314205,0.0992,0.03163122,0.0102453920274527,1828.699951171875,3647.489990234375,24.719999313354492
2020-12-15,1810,130096496450177000000,521913,19246.644341369403,19522.37702778008,19079.842377369336,19423.81741657513,751289400,70.05172631,18572106.25,320300,0.0961,0.03422802,0.0151800086907959,1852.300048828125,3694.6201171875,22.889999389648438
2020-12-16,1811,132126357193890000000,520297,19417.07603341676,21458.90789703801,19312.31685505589,21344.961281247062,751809697,79.9044725,18573000.0,315074,0.1829,0.0374496999999999,0.0457453514171281,1856.0999755859373,3701.169921875,22.5
2020-12-17,1812,120924230791745000000,533017,21310.598130544447,23629.66866754028,21237.525518313425,22790.80653827637,752342714,162.99271891,18573806.25,309352,0.31,0.04920021,0.0628809799786135,1887.199951171875,3722.47998046875,21.93000030517578
2020-12-18,1813,145575084110429000000,596314,22805.161492132305,23234.297298760383,22429.612760553464,23078.76395558409,752939028,195.47135264,18574787.5,375392,0.2015,0.03580871,0.0237959753557432,1885.699951171875,3709.409912109375,21.56999969482422
2020-12-19,1814,145727178343050000000,542856,23137.96056164862,24075.229852357108,22848.42669846348,23851.242514075984,753481884,119.96753977,18575775.0,343378,0.1705,0.02475586,0.0318058251045659,1885.699951171875,3709.409912109375,21.56999969482422
2020-12-20,1815,141220096205307000000,465212,23869.831964335182,24161.65293207689,23170.243462164948,23549.78112336685,753947096,73.5149194,18576718.75,281892,0.1705,0.02139035,0.0284135233947113,1885.699951171875,3709.409912109375,21.56999969482422
2020-12-21,1816,125467801265571000000,461211,23477.29519710618,24053.254898449293,22181.718713403166,22875.455699730974,754408307,138.56269222,18577568.75,269698,0.1891,0.03950324,0.0549557333327894,1879.199951171875,3694.919921875,25.15999984741211
2020-12-22,1817,132165952003621000000,528210,22803.081408702667,23758.933628169103,22436.96331435043,23758.933628169103,754936517,133.02681427,18578462.5,324020,0.1581,0.03347859,0.0314222912146587,1866.5999755859373,3687.260009765625,24.229999542236328
2020-12-23,1818,146111617294113000000,540230,23783.02850287901,23999.85319122281,22883.02942703465,23279.54929310205,755476747,143.04461152,18579425.0,338309,0.1488,0.03410289,0.0309597538130897,1874.699951171875,3690.010009765625,23.309999465942383
