t,new_addresses
2018-09-07,314381
2018-09-08,275730
2018-09-09,250634
2018-09-10,301398
2018-09-11,320983
2018-09-12,312198
2018-09-13,315948
2018-09-14,297972
2018-09-15,284135
2018-09-16,242454
2018-09-17,333185
2018-09-18,338355
2018-09-19,339448
2018-09-20,347070
2018-09-21,370435
2018-09-22,308024
2018-09-23,268887
2018-09-24,321166
2018-09-25,336847
2018-09-26,324608
2018-09-27,330514
2018-09-28,343280
2018-09-29,291110
2018-09-30,273880
2018-10-01,327802
2018-10-02,334727
2018-10-03,407232
2018-10-04,355545
2018-10-05,342455
2018-10-06,305953
2018-10-07,316310
2018-10-08,326977
2018-10-09,312887
2018-10-10,327580
2018-10-11,336936
2018-10-12,321262
2018-10-13,267894
2018-10-14,250462
2018-10-15,337722
2018-10-16,337002
2018-10-17,339291
2018-10-18,328510
2018-10-19,327521
2018-10-20,292238
2018-10-21,267114
2018-10-22,332160
2018-10-23,328345
2018-10-24,326489
2018-10-25,321559
2018-10-26,322919
2018-10-27,288882
2018-10-28,268969
2018-10-29,336351
2018-10-30,346857
2018-10-31,352411
2018-11-01,344692
2018-11-02,354665
2018-11-03,307392
2018-11-04,274457
2018-11-05,369491
2018-11-06,361824
2018-11-07,361568
2018-11-08,342063
2018-11-09,351983
2018-11-10,306232
2018-11-11,284303
2018-11-12,348589
2018-11-13,336412
2018-11-14,348478
2018-11-15,341191
2018-11-16,339024
2018-11-17,283798
2018-11-18,252300
2018-11-19,305224
2018-11-20,358059
2018-11-21,309582
2018-11-22,306586
2018-11-23,293488
2018-11-24,260326
2018-11-25,257549
2018-11-26,305433
2018-11-27,306054
2018-11-28,299724
2018-11-29,306843
2018-11-30,302959
2018-12-01,270954
2018-12-02,245215
2018-12-03,286060
2018-12-04,345803
2018-12-05,298333
2018-12-06,327751
2018-12-07,309146
2018-12-08,254667
2018-12-09,244695
2018-12-10,296289
2018-12-11,295507
2018-12-12,300075
2018-12-13,300820
2018-12-14,300393
2018-12-15,271718
2018-12-16,244281
2018-12-17,320590
2018-12-18,316774
2018-12-19,337371
2018-12-20,322763
2018-12-21,319860
2018-12-22,260907
2018-12-23,244450
2018-12-24,275865
2018-12-25,228560
2018-12-26,264142
2018-12-27,293957
2018-12-28,316473
2018-12-29,291778
2018-12-30,259067
2018-12-31,264907
2019-01-01,204562
2019-01-02,286954
2019-01-03,312525
2019-01-04,300809
2019-01-05,266560
2019-01-06,264515
2019-01-07,308682
2019-01-08,324750
2019-01-09,318696
2019-01-10,328827
2019-01-11,311242
2019-01-12,274828
2019-01-13,252763
2019-01-14,317177
2019-01-15,327628
2019-01-16,352464
2019-01-17,321945
2019-01-18,327181
2019-01-19,277542
2019-01-20,263820
2019-01-21,307705
2019-01-22,312322
2019-01-23,330739
2019-01-24,329312
2019-01-25,331761
2019-01-26,317015
2019-01-27,263391
2019-01-28,329682
2019-01-29,338556
2019-01-30,324374
2019-01-31,343090
2019-02-01,337288
2019-02-02,293309
2019-02-03,272765
2019-02-04,318133
2019-02-05,360437
2019-02-06,342551
2019-02-07,336017
2019-02-08,340853
2019-02-09,293087
2019-02-10,262051
2019-02-11,319715
2019-02-12,346675
2019-02-13,390264
2019-02-14,331106
2019-02-15,318006
2019-02-16,307164
2019-02-17,269025
2019-02-18,347384
2019-02-19,379760
2019-02-20,367302
2019-02-21,340596
2019-02-22,369454
2019-02-23,306358
2019-02-24,292119
2019-02-25,343088
2019-02-26,371804
2019-02-27,361846
2019-02-28,364225
2019-03-01,357997
2019-03-02,344659
2019-03-03,292396
2019-03-04,349046
2019-03-05,372570
2019-03-06,363255
2019-03-07,358188
2019-03-08,362225
2019-03-09,322951
2019-03-10,268237
2019-03-11,386103
2019-03-12,365115
2019-03-13,359420
2019-03-14,380064
2019-03-15,371410
2019-03-16,322104
2019-03-17,280698
2019-03-18,358037
2019-03-19,380743
2019-03-20,373723
2019-03-21,370850
2019-03-22,363858
2019-03-23,309672
2019-03-24,285850
2019-03-25,360132
2019-03-26,353200
2019-03-27,395991
2019-03-28,396453
2019-03-29,383751
2019-03-30,343304
2019-03-31,314547
2019-04-01,352843
2019-04-02,456379
2019-04-03,428555
2019-04-04,413226
2019-04-05,411980
2019-04-06,329677
2019-04-07,305217
2019-04-08,397487
2019-04-09,394769
2019-04-10,405636
2019-04-11,432889
2019-04-12,378792
2019-04-13,318661
2019-04-14,294569
2019-04-15,398318
2019-04-16,383706
2019-04-17,383073
2019-04-18,379959
2019-04-19,402698
2019-04-20,315691
2019-04-21,286542
2019-04-22,335782
2019-04-23,374697
2019-04-24,437624
2019-04-25,390368
2019-04-26,383577
2019-04-27,312269
2019-04-28,302136
2019-04-29,379907
2019-04-30,404004
2019-05-01,393361
2019-05-02,402407
2019-05-03,407533
2019-05-04,349433
2019-05-05,316916
2019-05-06,390611
2019-05-07,390034
2019-05-08,435093
2019-05-09,423016
2019-05-10,401965
2019-05-11,402077
2019-05-12,379788
2019-05-13,444013
2019-05-14,455852
2019-05-15,449311
2019-05-16,451912
2019-05-17,428496
2019-05-18,400789
2019-05-19,350555
2019-05-20,408490
2019-05-21,435577
2019-05-22,424365
2019-05-23,414969
2019-05-24,401554
2019-05-25,336016
2019-05-26,317168
2019-05-27,419436
2019-05-28,441214
2019-05-29,444183
2019-05-30,411677
2019-05-31,361290
2019-06-01,381074
2019-06-02,319426
2019-06-03,349931
2019-06-04,444311
2019-06-05,409911
2019-06-06,393943
2019-06-07,384734
2019-06-08,308718
2019-06-09,280185
2019-06-10,386170
2019-06-11,397708
2019-06-12,387706
2019-06-13,437626
2019-06-14,474039
2019-06-15,406189
2019-06-16,342249
2019-06-17,395190
2019-06-18,471569
2019-06-19,442221
2019-06-20,400697
2019-06-21,418388
2019-06-22,428578
2019-06-23,396776
2019-06-24,427492
2019-06-25,445703
2019-06-26,512444
2019-06-27,455725
2019-06-28,480421
2019-06-29,372389
2019-06-30,317138
2019-07-01,392976
2019-07-02,438156
2019-07-03,426007
2019-07-04,391814
2019-07-05,376382
2019-07-06,351538
2019-07-07,284528
2019-07-08,402680
2019-07-09,406974
2019-07-10,387005
2019-07-11,373048
2019-07-12,400992
2019-07-13,302093
2019-07-14,272747
2019-07-15,372663
2019-07-16,389537
2019-07-17,367741
2019-07-18,352268
2019-07-19,357282
2019-07-20,320751
2019-07-21,261219
2019-07-22,337301
2019-07-23,354711
2019-07-24,323603
2019-07-25,385948
2019-07-26,374310
2019-07-27,293681
2019-07-28,254956
2019-07-29,345532
2019-07-30,366250
2019-07-31,384720
2019-08-01,373810
2019-08-02,372648
2019-08-03,315333
2019-08-04,279136
2019-08-05,391161
2019-08-06,419801
2019-08-07,375329
2019-08-08,387694
2019-08-09,367478
2019-08-10,300060
2019-08-11,272990
2019-08-12,299771
2019-08-13,384319
2019-08-14,368713
2019-08-15,357577
2019-08-16,342405
2019-08-17,290432
2019-08-18,269462
2019-08-19,347670
2019-08-20,357380
2019-08-21,362469
2019-08-22,365719
2019-08-23,377779
2019-08-24,299312
2019-08-25,260856
2019-08-26,362806
2019-08-27,366369
2019-08-28,353749
2019-08-29,364207
2019-08-30,356421
2019-08-31,305452
2019-09-01,277425
2019-09-02,353576
2019-09-03,407547
2019-09-04,371984
2019-09-05,375926
2019-09-06,396295
2019-09-07,319732
2019-09-08,295140
2019-09-09,360766
2019-09-10,381982
2019-09-11,381628
2019-09-12,389920
2019-09-13,366633
2019-09-14,339012
2019-09-15,284047
2019-09-16,381410
2019-09-17,390590
2019-09-18,399431
2019-09-19,374606
2019-09-20,373328
2019-09-21,340491
2019-09-22,298974
2019-09-23,353522
2019-09-24,400332
2019-09-25,376529
2019-09-26,375254
2019-09-27,346847
2019-09-28,320722
2019-09-29,293726
2019-09-30,361882
2019-10-01,389286
2019-10-02,366963
2019-10-03,359537
2019-10-04,366334
2019-10-05,327334
2019-10-06,295455
2019-10-07,367462
2019-10-08,365814
2019-10-09,357384
2019-10-10,378534
2019-10-11,370917
2019-10-12,311477
2019-10-13,287378
2019-10-14,353224
2019-10-15,365716
2019-10-16,370887
2019-10-17,363462
2019-10-18,356576
2019-10-19,341528
2019-10-20,300995
2019-10-21,377722
2019-10-22,375531
2019-10-23,370670
2019-10-24,350257
2019-10-25,390140
2019-10-26,367051
